kanji,kana,meaning,pos,verb_type,importance,moji_word_id,moji_tags,source
教授,きょうじゅ,教，教授，教学，讲授；教授,名·サ变,suru,3,198945185,N2#N3#高考,moji
兄弟,きょうだい,兄弟姐妹。；姐夫，妹夫，弟妹，嫂子；盟兄弟；哥们,名,,5,198947643,N2#N5#考研,moji
下り,くだり,下降；下行；下坡；下文,名,,2,198935379,N2,moji
靴,くつ,鞋；靴,名,,5,198947241,N2#N5,moji
国,くに,国，国家；国土，领土；家乡，老家，故乡；封地，领地；地区，地方,名,,5,198954916,N1#N2#N5,moji
詳しい,くわしい,详细；详尽；熟悉,形,,3,198969099,N1#N2#N3#高考,moji
公園,こうえん,公园；自然风景区,名,,5,198952349,N2#N5#考研,moji
行楽地,こうらくち,景点，游览地,名,,3,198954033,,moji
故障,こしょう,故障；故障；故障,名·自动词·サ变,suru,4,198951113,N1#N4#考研#高考,moji
答える,こたえる,回答；回应；解答；应对,自动词·一段,ichidan,5,198990824,N2#N5#考研,moji
子供,こども,向别人介绍自己的孩子时的说法；（自己的）孩子；儿童，小孩儿；仔，崽；幼稚,名,,5,198959415,N1#N2#N5,moji
